name,num_backers,funding_target,total_raised
"""90""",9237.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
"""90""",9237.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
"""90""",9237.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
"""90""",9237.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
"""56""",6168.0,Waking La Llorona by Optika Moderna —,"$10,000"
"""56""",6168.0,Waking La Llorona by Optika Moderna —,"$10,000"
"""56""",6168.0,Waking La Llorona by Optika Moderna —,"$10,000"
"""56""",6168.0,Waking La Llorona by Optika Moderna —,"$10,000"
"""56""",6168.0,Waking La Llorona by Optika Moderna —,"$10,000"
"""477""",127640.0,Moona - Regulating your pillow temperature to enhance sleep by Moona —,"$50,000"
"""287""",20365.0,Encounters with the Imaginary Volume 2 by Boneshaker Press —,"$8,000"
"""193""",23395.0,The Go For Broke Spirit Photo Book by Shane Sato —,"$25,000"
"""132""",202065.0,BETA: Nuevo Disco by BETA —,"$10,934"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""102""",2294.0,How Not To Kill Yourself by Microcosm Publishing —,"$5,000"
"""477""",127640.0,Moona - Regulating your pillow temperature to enhance sleep by Moona —,"$50,000"
"""477""",127640.0,Moona - Regulating your pillow temperature to enhance sleep by Moona —,"$50,000"
"""102""",2294.0,How Not To Kill Yourself by Microcosm Publishing —,"$5,000"
"""477""",127640.0,Moona - Regulating your pillow temperature to enhance sleep by Moona —,"$50,000"
"""102""",2294.0,How Not To Kill Yourself by Microcosm Publishing —,"$5,000"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""477""",127640.0,Moona - Regulating your pillow temperature to enhance sleep by Moona —,"$50,000"
"""132""",202065.0,BETA: Nuevo Disco by BETA —,"$10,934"
"""132""",202065.0,BETA: Nuevo Disco by BETA —,"$10,934"
"""102""",2294.0,How Not To Kill Yourself by Microcosm Publishing —,"$5,000"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""102""",2294.0,How Not To Kill Yourself by Microcosm Publishing —,"$5,000"
"""132""",202065.0,BETA: Nuevo Disco by BETA —,"$10,934"
"""132""",202065.0,BETA: Nuevo Disco by BETA —,"$10,934"
"""8""",417.0,Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"$6,620"
"""193""",23395.0,The Go For Broke Spirit Photo Book by Shane Sato —,"$25,000"
"""193""",23395.0,The Go For Broke Spirit Photo Book by Shane Sato —,"$25,000"
"""193""",23395.0,The Go For Broke Spirit Photo Book by Shane Sato —,"$25,000"
"""193""",23395.0,The Go For Broke Spirit Photo Book by Shane Sato —,"$25,000"
"""287""",20365.0,Encounters with the Imaginary Volume 2 by Boneshaker Press —,"$8,000"
"""287""",20365.0,Encounters with the Imaginary Volume 2 by Boneshaker Press —,"$8,000"
"""287""",20365.0,Encounters with the Imaginary Volume 2 by Boneshaker Press —,"$8,000"
"""287""",20365.0,Encounters with the Imaginary Volume 2 by Boneshaker Press —,"$8,000"
"""1""",50.0,"Hook, Lynn, &amp; Sinker: The Misadventures of a Pirate Trio by Thane Frederick Benson —","$2,000"
"""33""",2090.0,"Sit, Eat and Chew 五味杂陈 by Mei-Yin Ng —","$3,500"
"""409""",35441.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""2563""",130463.0,Potato Pirates: The Tastiest Coding Card Game by Codomo —,"$10,998"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""2212""",470501.01,Embr Wave: A Thermostat For Your Body by Embr Wave —,"$100,000"
"""166""",12261.0,Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"$65,000"
"""571""",26089.0,Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"$32,000"
"""266""",24483.0,War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"$25,000"
"""157""",21750.0,NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"$45,000"
"""157""",21750.0,NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"$45,000"
"""157""",21750.0,NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"$45,000"
"""266""",24483.0,War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"$25,000"
"""266""",24483.0,War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"$25,000"
"""571""",26089.0,Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"$32,000"
"""571""",26089.0,Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"$32,000"
"""166""",12261.0,Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"$65,000"
"""166""",12261.0,Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"$65,000"
"""157""",21750.0,NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"$45,000"
"""2212""",470501.01,Embr Wave: A Thermostat For Your Body by Embr Wave —,"$100,000"
"""2212""",470501.01,Embr Wave: A Thermostat For Your Body by Embr Wave —,"$100,000"
"""266""",24483.0,War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"$25,000"
"""157""",21750.0,NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"$45,000"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""166""",12261.0,Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"$65,000"
"""166""",12261.0,Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"$65,000"
"""266""",24483.0,War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"$25,000"
"""2212""",470501.01,Embr Wave: A Thermostat For Your Body by Embr Wave —,"$100,000"
"""2212""",470501.01,Embr Wave: A Thermostat For Your Body by Embr Wave —,"$100,000"
"""571""",26089.0,Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"$32,000"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""571""",26089.0,Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"$32,000"
"""2563""",130463.0,Potato Pirates: The Tastiest Coding Card Game by Codomo —,"$10,998"
"""2563""",130463.0,Potato Pirates: The Tastiest Coding Card Game by Codomo —,"$10,998"
"""33""",2090.0,"Sit, Eat and Chew 五味杂陈 by Mei-Yin Ng —","$3,500"
"""33""",2090.0,"Sit, Eat and Chew 五味杂陈 by Mei-Yin Ng —","$3,500"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""1""",50.0,"Hook, Lynn, &amp; Sinker: The Misadventures of a Pirate Trio by Thane Frederick Benson —","$2,000"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""2563""",130463.0,Potato Pirates: The Tastiest Coding Card Game by Codomo —,"$10,998"
"""1""",50.0,"Hook, Lynn, &amp; Sinker: The Misadventures of a Pirate Trio by Thane Frederick Benson —","$2,000"
"""2563""",130463.0,Potato Pirates: The Tastiest Coding Card Game by Codomo —,"$10,998"
"""731""",34761.0,"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","$21,863"
"""33""",2090.0,"Sit, Eat and Chew 五味杂陈 by Mei-Yin Ng —","$3,500"
"""33""",2090.0,"Sit, Eat and Chew 五味杂陈 by Mei-Yin Ng —","$3,500"
"""111""",33953.0,With Drawn Arms by Glenn Kaino Studio —,"$80,000"
"""6602""",1619872.0,"BioLite FirePit: See Fire, Not Smoke by BioLite —","$100,000"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""1""",50.0,"Hook, Lynn, &amp; Sinker: The Misadventures of a Pirate Trio by Thane Frederick Benson —","$2,000"
"""1""",50.0,"Hook, Lynn, &amp; Sinker: The Misadventures of a Pirate Trio by Thane Frederick Benson —","$2,000"
"""731""",34761.0,"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","$21,863"
"""731""",34761.0,"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","$21,863"
"""111""",33953.0,With Drawn Arms by Glenn Kaino Studio —,"$80,000"
"""111""",33953.0,With Drawn Arms by Glenn Kaino Studio —,"$80,000"
"""6602""",1619872.0,"BioLite FirePit: See Fire, Not Smoke by BioLite —","$100,000"
"""6602""",1619872.0,"BioLite FirePit: See Fire, Not Smoke by BioLite —","$100,000"
"""731""",34761.0,"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","$21,863"
"""111""",33953.0,With Drawn Arms by Glenn Kaino Studio —,"$80,000"
"""6602""",1619872.0,"BioLite FirePit: See Fire, Not Smoke by BioLite —","$100,000"
"""6602""",1619872.0,"BioLite FirePit: See Fire, Not Smoke by BioLite —","$100,000"
"""731""",34761.0,"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","$21,863"
"""111""",33953.0,With Drawn Arms by Glenn Kaino Studio —,"$80,000"
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""3866""",330873.55,RWBY: Combat Ready by Rooster Teeth —,"$250,000"
"""129""",24718.0,Ignite: A Burning Man Film by Ryan Moore —,"$20,000"
"""174""",10595.0,Nomster Chef: Recipes that Help Kids Learn to Cook by Nomster Chef —,"$10,000"
"""66""",6594.0,WINNATS ROLL TOP BACKPACK – THE LEVEL COLLECTIVE by THE LEVEL COLLECTIVE —,"$3,972"
"""21""",1233.0,Burden of Joy Costume and Set by Maureen —,"$3,100"
"""140""",35290.0,WOODSPIRIT Handmade Swiss Skis by Bessard —,"$25,625"
"""129""",24718.0,Ignite: A Burning Man Film by Ryan Moore —,"$20,000"
"""174""",10595.0,Nomster Chef: Recipes that Help Kids Learn to Cook by Nomster Chef —,"$10,000"
"""129""",24718.0,Ignite: A Burning Man Film by Ryan Moore —,"$20,000"
"""174""",10595.0,Nomster Chef: Recipes that Help Kids Learn to Cook by Nomster Chef —,"$10,000"
"""129""",24718.0,Ignite: A Burning Man Film by Ryan Moore —,"$20,000"
"""129""",24718.0,Ignite: A Burning Man Film by Ryan Moore —,"$20,000"
"""174""",10595.0,Nomster Chef: Recipes that Help Kids Learn to Cook by Nomster Chef —,"$10,000"
"""174""",10595.0,Nomster Chef: Recipes that Help Kids Learn to Cook by Nomster Chef —,"$10,000"
"""140""",35290.0,WOODSPIRIT Handmade Swiss Skis by Bessard —,"$25,625"
"""140""",35290.0,WOODSPIRIT Handmade Swiss Skis by Bessard —,"$25,625"
"""21""",1233.0,Burden of Joy Costume and Set by Maureen —,"$3,100"
"""21""",1233.0,Burden of Joy Costume and Set by Maureen —,"$3,100"
"""66""",6594.0,WINNATS ROLL TOP BACKPACK – THE LEVEL COLLECTIVE by THE LEVEL COLLECTIVE —,"$3,972"
"""66""",6594.0,WINNATS ROLL TOP BACKPACK – THE LEVEL COLLECTIVE by THE LEVEL COLLECTIVE —,"$3,972"
"""140""",35290.0,WOODSPIRIT Handmade Swiss Skis by Bessard —,"$25,625"
"""21""",1233.0,Burden of Joy Costume and Set by Maureen —,"$3,100"
"""140""",35290.0,WOODSPIRIT Handmade Swiss Skis by Bessard —,"$25,625"
"""21""",1233.0,Burden of Joy Costume and Set by Maureen —,"$3,100"
"""66""",6594.0,WINNATS ROLL TOP BACKPACK – THE LEVEL COLLECTIVE by THE LEVEL COLLECTIVE —,"$3,972"
"""66""",6594.0,WINNATS ROLL TOP BACKPACK – THE LEVEL COLLECTIVE by THE LEVEL COLLECTIVE —,"$3,972"
funding_target,name,total_raised,num_backers
"$1,000",Dyepot Weekly: A Series of Yarn Dyeing Videos by Rebecca Brown —,2617.0,"""68"""
"$4,000",Floating Head - Graphic Science Fiction Quarterly by Mike Mccubbins and Matt Bryan —,1935.0,"""38"""
"$23,482",We're All Going To Die - The Festival by Stefan Hunt —,10485.0,"""109"""
"$52,966",SPLATWARE | One of a kind tableware by Granby Workshop —,73831.0,"""777"""
"$2,000",The Final Frontier - A Broadside Portfolio by Thornwillow —,7074.0,"""123"""
"$25,000",Local Government Diversity Dashboard by Kirsten Wyatt —,2150.0,"""36"""
"$17,632",Neorj by Igor Berlinskiy —,894.0,"""55"""
"$9,404",Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,37249.0,"""430"""
"$21,186",Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,7907.0,"""76"""
"$20,000",PAKA - The Alpaca Wool Sweater by PAKA —,215983.0,"""1604"""
"$10,000",IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,9886.0,"""63"""
"$50,000",Dead Moon: The Book by Mississippi Records —,51585.0,"""611"""
"$30,000",Seeing the City: Open House New York Weekend in Photos by Open House New York —,3585.0,"""73"""
"$10,000",Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,7795.66,"""99"""
"$18,000",Radical Networks by Sarah Grant —,16629.0,"""176"""
"$10,000",Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,9160.0,"""245"""
"$2,500",Gator Mold - Combo Pen Blank Casting System by Tom Barron —,9113.0,"""63"""
"$12,500",Blights Out for Mayor by Blights Out —,10599.0,"""162"""
"$18,000",Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,3691.0,"""62"""
"$1,000",A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,1170.0,"""45"""
"$5,000",How Not To Kill Yourself by Microcosm Publishing —,2478.0,"""109"""
"$50,000",Relic Hunters Legend - Online Cooperative Shooter/Looter/RPG by David Logan —,3849.79,"""66"""
"$52,966",London2London: Via the World - by Sarah Outen &amp; Jen Randall by Sarah Outen —,6690.0,"""111"""
"$50,000","Transformers G1 Unofficial Photographic Archive Vintage Toys by Ocular Echo, LLC —",54057.0,"""415"""
"$21,461","MESAY-20 Languages Smart Voice Translator - You say, I know! by Seven —",80850.0,"""365"""
"$250,000",RWBY: Combat Ready by Rooster Teeth —,336037.55,"""3928"""
"$100,000",Embr Wave: A Thermostat For Your Body by Embr Wave —,474508.01,"""2228"""
"$25,000",War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,27023.0,"""293"""
"$65,000",Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,12261.0,"""166"""
"$32,000",Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,26335.0,"""578"""
"$45,000",NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,21750.0,"""157"""
"$80,000",With Drawn Arms by Glenn Kaino Studio —,33953.0,"""111"""
"$21,863","Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —",34900.0,"""733"""
"$100,000","BioLite FirePit: See Fire, Not Smoke by BioLite —",1626839.0,"""6629"""
"$30,000",Bring Ryan Landry's 'Greece!' to New York City! by The Gold Dust Orphans —,13744.0,"""78"""
"$15,000",ROBOPAL: Build STEM Skills. Build Robots. Have Fun by Robopal —,6565.1,"""37"""
"$21,000",Astro Alphabet by Lunar Saloon —,5834.11,"""181"""
"$30,000",Kate Davis - Recording an album! by Kate Davis —,12095.0,"""294"""
"$13,241",HOTSHOE's 200th ISSUE by HOTSHOE —,4361.0,"""35"""
"$5,365",My Indian Kitchen by Ashia Ismail-Singer - My Indian Kitchen —,3625.0,"""72"""
"$16,022","DEEP SIX Sci-fi Webseries with Orphan Black, Battlestar cast by Deep Six Crew —",29080.0,"""522"""
"$11,755",World's first 3D printed sunglasses from plastic waste by Sebastiaan —,22137.0,"""261"""
"$25,000",Nomad Notebooks: A place where creativity thrives! by LaMar Smith —,18084.0,"""437"""
"$30,000",The Flying Martha Ornithopter by Emily Fischer —,42387.0,"""615"""
