name,num_backers,funding_target,total_raised
Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"""59""","$2,500",8693.0
Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"""57""","$18,000",3618.0
Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"""57""","$18,000",3618.0
Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"""57""","$18,000",3618.0
Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"""57""","$18,000",3618.0
Dream Crasher: Volume One by Daniel Stalter —,"""99""","$4,500",4628.0
Dream Crasher: Volume One by Daniel Stalter —,"""99""","$4,500",4628.0
Dream Crasher: Volume One by Daniel Stalter —,"""99""","$4,500",4628.0
Dream Crasher: Volume One by Daniel Stalter —,"""99""","$4,500",4628.0
ORGANICALLY MAINE by Tom Hunt —,"""92""","$1,500",3048.0
ORGANICALLY MAINE by Tom Hunt —,"""92""","$1,500",3048.0
ORGANICALLY MAINE by Tom Hunt —,"""92""","$1,500",3048.0
ORGANICALLY MAINE by Tom Hunt —,"""92""","$1,500",3048.0
Blights Out for Mayor by Blights Out —,"""150""","$12,500",8675.0
Blights Out for Mayor by Blights Out —,"""150""","$12,500",8675.0
Blights Out for Mayor by Blights Out —,"""150""","$12,500",8675.0
SPLATWARE | One of a kind tableware by Granby Workshop —,"""714""","$53,064",68598.0
SPLATWARE | One of a kind tableware by Granby Workshop —,"""714""","$53,064",68598.0
SPLATWARE | One of a kind tableware by Granby Workshop —,"""714""","$53,064",68598.0
The Flying Martha Ornithopter by Emily Fischer —,"""609""","$30,000",42003.0
The Flying Martha Ornithopter by Emily Fischer —,"""609""","$30,000",42003.0
The Flying Martha Ornithopter by Emily Fischer —,"""609""","$30,000",42003.0
The Flying Martha Ornithopter by Emily Fischer —,"""609""","$30,000",42003.0
Board Blitz - Party game with online play! by ScrewBit Games —,"""14""","$34,640",22860.0
7th Sea: Khitai by John Wick —,"""1296""","$50,000",103247.0
A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,"""38""","$1,000",1013.0
Nihonshu: Japanese sake by Gautier Roussille —,"""23""","$2,353",1125.0
"Tutu's Favorite Songs by George Kahumoku, Jr. by George Kahumoku Jr. —","""50""","$16,500",4932.0
Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"""57""","$18,000",3618.0
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
